ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,SMA_100,EMA_100,rolling_std_100,bollinger_upper,bollinger_lower,yhat_ensemble
2014-12-16,0.282157973853,-5.801497284734475,6.9094427208628035,0.282157973853,0.282157973853,0.32324684224970235,0.32324684224970235,0.32324684224970235,-0.03365358215239236,-0.03365358215239236,-0.03365358215239236,-0.02996932675780427,-0.02996932675780427,-0.02996932675780427,0.38686975115989897,0.38686975115989897,0.38686975115989897,0.0,0.0,0.0,0.6054048161027024,,0.6054048161027024,,,,0.4487170199868271
2014-12-17,0.28518822480864725,-5.904918291072563,7.026914645537448,0.28518822480864725,0.28518822480864725,0.3545220865220482,0.3545220865220482,0.3545220865220482,0.14455297970717013,0.14455297970717013,0.14455297970717013,0.03645495132168672,0.03645495132168672,0.03645495132168672,0.1735141554931914,0.1735141554931914,0.1735141554931914,0.0,0.0,0.0,0.6397103113306954,,0.6060841328398904,,,,0.48968615058793574
2014-12-18,0.2882184757642945,-5.585260758885244,7.057806309075591,0.2882184757642945,0.2882184757642945,0.43392704484318767,0.43392704484318767,0.43392704484318767,0.2813095230579459,0.2813095230579459,0.2813095230579459,0.09951381637574662,0.09951381637574662,0.09951381637574662,0.05310370540949518,0.05310370540949518,0.05310370540949518,0.0,0.0,0.0,0.7221455206074822,,0.608382378142219,,,,0.6423332099714386
2014-12-19,0.29124872671994173,-5.891364683699983,6.9682973812979565,0.29124872671994173,0.29124872671994173,0.18837183576045435,0.18837183576045435,0.18837183576045435,0.1488286493600584,0.1488286493600584,0.1488286493600584,0.05135878392814987,0.05135878392814987,0.05135878392814987,-0.011815597527753933,-0.011815597527753933,-0.011815597527753933,0.0,0.0,0.0,0.4796205624803961,,0.6058326392182225,,,,0.2743921741709173
2014-12-22,0.3003394795868834,-6.0577651207396785,6.876699595721916,0.3003394795868834,0.3003394795868834,0.12999052520041504,0.12999052520041504,0.12999052520041504,-0.04955285396254569,-0.04955285396254569,-0.04955285396254569,-0.053597350279991546,-0.053597350279991546,-0.053597350279991546,0.23314072944295222,0.23314072944295222,0.23314072944295222,0.0,0.0,0.0,0.43033000478729844,,0.6023573395265209,,,,0.18867167482361435
2014-12-23,0.30220433655358286,-6.0782386455820365,6.502700559289952,0.30220433655358286,0.30220433655358286,-0.02905026018255477,-0.02905026018255477,-0.02905026018255477,-0.2696822670779417,-0.2696822670779417,-0.2696822670779417,-0.029969326757831306,-0.029969326757831306,-0.029969326757831306,0.2706013336532182,0.2706013336532182,0.2706013336532182,0.0,0.0,0.0,0.27315407637102807,,0.5958384630283924,,,,-0.03951353189008033
2014-12-24,0.30406919352028233,-6.314870676063307,6.550735156354037,0.30406919352028233,0.30406919352028233,-0.23263205376061796,-0.23263205376061796,-0.23263205376061796,-0.3821865627238466,-0.3821865627238466,-0.3821865627238466,0.03645495132176786,0.03645495132176786,0.03645495132176786,0.11309955764146076,0.11309955764146076,0.11309955764146076,0.0,0.0,0.0,0.07143713975966437,,0.5854542784092096,,,,-0.3812632963556005
2014-12-26,0.3077989074536813,-6.835683739369318,5.959421062391254,0.3077989074536813,0.3077989074536813,-0.5509148746969984,-0.5509148746969984,-0.5509148746969984,-0.3438134477684705,-0.3438134477684705,-0.3438134477684705,0.05135878392824947,0.05135878392824947,0.05135878392824947,-0.25846021085677734,-0.25846021085677734,-0.25846021085677734,0.0,0.0,0.0,-0.24311596724331708,,0.5690469468121299,,,,-0.839443808525208
2014-12-29,0.31339347835377973,-6.3301746589105745,6.659027021886332,0.31339347835377973,0.31339347835377973,-0.15914496779356957,-0.15914496779356957,-0.15914496779356957,-0.30570650976607405,-0.30570650976607405,-0.30570650976607405,-0.05359735028000897,-0.05359735028000897,-0.05359735028000897,0.2001588922525135,0.2001588922525135,0.2001588922525135,0.0,0.0,0.0,0.15424851056021016,,0.5608331163912998,,,,-0.22928305987436015
2014-12-30,0.31521334731193296,-5.9237681682932966,6.901529304581755,0.31521334731193296,0.31521334731193296,0.25841806594349914,0.25841806594349914,0.25841806594349914,-0.1460855752516454,-0.1460855752516454,-0.1460855752516454,-0.02996932675776954,-0.02996932675776954,-0.02996932675776954,0.434472967952914,0.434472967952914,0.434472967952914,0.0,0.0,0.0,0.5736314132554321,,0.5610865480123717,,,,0.4525536149484901
2014-12-31,0.3170332162700863,-5.548842372426587,7.291733518435323,0.3170332162700863,0.3170332162700863,0.4820857060338179,0.4820857060338179,0.4820857060338179,0.05876100355237029,0.05876100355237029,0.05876100355237029,0.036454951321848984,0.036454951321848984,0.036454951321848984,0.3868697511595985,0.3868697511595985,0.3868697511595985,0.0,0.0,0.0,0.7991189223039041,,0.5658000603745802,,,,0.814116905655254
2015-01-02,0.32067295418639286,-6.5275636876703835,6.484733361994515,0.32067295418639286,0.32067295418639286,-0.23334589718445592,-0.23334589718445592,-0.23334589718445592,-0.33780838652288797,-0.33780838652288797,-0.33780838652288797,0.051358783928183986,0.051358783928183986,0.051358783928183986,0.05310370541024806,0.05310370541024806,0.05310370541024806,0.0,0.0,0.0,0.08732705700193694,,0.556325347436508,,,,-0.34666658055986116
