,ds,score
114,2022-11-15 00:00:00-05:00,0.0
115,2022-11-14 00:00:00-05:00,0.0
116,2022-11-11 00:00:00-05:00,0.0
117,2022-11-10 00:00:00-05:00,0.0
118,2022-11-09 00:00:00-05:00,0.0
119,2022-11-08 00:00:00-05:00,0.0
120,2022-11-07 00:00:00-05:00,0.0
121,2022-11-04 00:00:00-04:00,0.0
122,2022-11-03 00:00:00-04:00,0.0
123,2022-11-02 00:00:00-04:00,0.0
124,2022-11-01 00:00:00-04:00,0.0
125,2022-10-31 00:00:00-04:00,0.0
126,2022-10-28 00:00:00-04:00,0.0
127,2022-10-27 00:00:00-04:00,0.0
128,2022-10-26 00:00:00-04:00,0.0
129,2022-10-25 00:00:00-04:00,0.0
130,2022-10-24 00:00:00-04:00,0.0
131,2022-10-21 00:00:00-04:00,0.0
132,2022-10-20 00:00:00-04:00,0.0
133,2022-10-19 00:00:00-04:00,0.0
134,2022-10-18 00:00:00-04:00,0.0
135,2022-10-17 00:00:00-04:00,0.0
136,2022-10-14 00:00:00-04:00,0.0
137,2022-10-13 00:00:00-04:00,0.0
138,2022-10-12 00:00:00-04:00,0.0
139,2022-10-11 00:00:00-04:00,0.0
140,2022-10-10 00:00:00-04:00,0.0
141,2022-10-07 00:00:00-04:00,0.0
142,2022-10-06 00:00:00-04:00,0.0
143,2022-10-05 00:00:00-04:00,0.0
144,2022-10-04 00:00:00-04:00,0.0
145,2022-10-03 00:00:00-04:00,0.0
146,2022-09-30 00:00:00-04:00,0.0
147,2022-09-29 00:00:00-04:00,0.0
148,2022-09-28 00:00:00-04:00,0.0
149,2022-09-27 00:00:00-04:00,0.0
150,2022-09-26 00:00:00-04:00,0.0
151,2022-09-23 00:00:00-04:00,0.0
152,2022-09-22 00:00:00-04:00,0.0
153,2022-09-21 00:00:00-04:00,0.0
154,2021-01-21 00:00:00-05:00,0.0
155,2021-01-20 00:00:00-05:00,0.0
156,2021-01-19 00:00:00-05:00,0.0
157,2021-01-15 00:00:00-05:00,0.0
158,2021-01-14 00:00:00-05:00,0.0
159,2021-01-13 00:00:00-05:00,0.0
160,2021-01-12 00:00:00-05:00,0.0
161,2021-01-11 00:00:00-05:00,0.0
162,2021-01-08 00:00:00-05:00,0.0
163,2021-01-07 00:00:00-05:00,0.0
164,2021-01-06 00:00:00-05:00,0.0
165,2021-01-05 00:00:00-05:00,0.0
166,2021-01-04 00:00:00-05:00,0.0
167,2020-12-31 00:00:00-05:00,0.0
168,2020-12-30 00:00:00-05:00,0.0
169,2020-12-29 00:00:00-05:00,0.0
170,2020-12-28 00:00:00-05:00,0.0
171,2020-12-24 00:00:00-05:00,0.0
172,2020-12-23 00:00:00-05:00,0.0
173,2020-12-22 00:00:00-05:00,0.0
174,2020-12-21 00:00:00-05:00,0.0
175,2020-12-18 00:00:00-05:00,0.0
176,2020-12-17 00:00:00-05:00,0.0
177,2020-12-16 00:00:00-05:00,0.0
178,2020-12-15 00:00:00-05:00,0.0
179,2020-12-14 00:00:00-05:00,0.0
180,2020-12-11 00:00:00-05:00,0.0
181,2020-12-10 00:00:00-05:00,0.0
182,2020-12-09 00:00:00-05:00,0.0
183,2020-12-08 00:00:00-05:00,0.0
184,2020-12-07 00:00:00-05:00,0.0
185,2020-12-04 00:00:00-05:00,0.0
186,2020-12-03 00:00:00-05:00,0.0
187,2020-12-02 00:00:00-05:00,0.0
188,2020-12-01 00:00:00-05:00,0.0
189,2020-11-30 00:00:00-05:00,0.0
190,2020-11-27 00:00:00-05:00,0.0
191,2020-11-25 00:00:00-05:00,0.0
192,2020-11-24 00:00:00-05:00,0.0
193,2020-11-23 00:00:00-05:00,0.0
194,2020-11-20 00:00:00-05:00,0.0
195,2020-11-19 00:00:00-05:00,0.0
196,2020-11-18 00:00:00-05:00,0.0
197,2020-11-17 00:00:00-05:00,0.0
198,2020-11-16 00:00:00-05:00,0.0
199,2020-11-13 00:00:00-05:00,0.0
200,2020-11-12 00:00:00-05:00,0.0
201,2020-11-11 00:00:00-05:00,0.0
202,2020-11-10 00:00:00-05:00,0.0
203,2020-11-09 00:00:00-05:00,0.0
204,2020-11-06 00:00:00-05:00,0.0
205,2020-11-05 00:00:00-05:00,0.0
206,2020-11-04 00:00:00-05:00,0.0
207,2020-11-03 00:00:00-05:00,0.0
208,2020-11-02 00:00:00-05:00,0.0
209,2020-10-30 00:00:00-04:00,0.0
210,2020-10-29 00:00:00-04:00,0.0
211,2020-10-28 00:00:00-04:00,0.0
212,2020-10-27 00:00:00-04:00,0.0
213,2020-10-26 00:00:00-04:00,0.0
214,2019-03-04 00:00:00-05:00,0.0
215,2019-03-01 00:00:00-05:00,0.0
216,2019-02-28 00:00:00-05:00,0.0
217,2019-02-27 00:00:00-05:00,0.0
218,2019-02-26 00:00:00-05:00,0.0
219,2019-02-25 00:00:00-05:00,0.0
220,2019-02-22 00:00:00-05:00,0.0
221,2019-02-21 00:00:00-05:00,0.0
222,2019-02-20 00:00:00-05:00,0.0
